repository_id,oairoot,metadata_rows,qdc_meta_rows
brock_university,dr.library.brocku.ca,296773,66066
university_calgary,prism.ucalgary.ca,1197476,164760
carroll_college,scholars.carroll.edu,148898,36106
colorado_wyoming_mtn_scholar,mountainscholar.org,1731333,147710
cornell_university,ecommons.cornell.edu,2781159,448742
indiana_university_purdue_university_indianapolis,scholarworks.iupui.edu,904335,128772
kansas_state_university,krex.k-state.edu,1241523,124312
maryland_soar,mdsoar.org,600241,87436
massey_university,mro.massey.ac.nz,390070,79097
mcmaster_university,macsphere.mcmaster.ca,443287,81917
university_michigan,deepblue.lib.umich.edu,6229325,716592
montana_state_university,scholarworks.montana.edu,402032,70500
northern_kentucky_university,dspace.nku.edu,47993,6205
university_plymouth,pearl.plymouth.ac.uk,486701,74434
russian_state_vocational_pedagogical_university,elar.rsvpu.ru,1566938,181059
southeast_asian_fisheries_dev_ctr,repository.seafdec.org.ph,149726,26408
sam_houston_state_university,shsu-ir.tdl.org,79367,11879
texas_am_university,oaktrust.library.tamu.edu,3873105,526990
university_arizona,repository.arizona.edu,3181866,347695
university_houston,uh-ir.tdl.org,265359,39098
university_minnesota,conservancy.umn.edu,2105504,413804
universidad_peruana_ciencias,repositorioacademico.upc.edu.pe,1314711,202428
ural_federal_university_archive,elar.urfu.ru,2440221,464878
ural_state_pedagogical_university_archive,elar.uspu.ru,548558,82616
university_texas,repositories.lib.utexas.edu,2864322,397146
virginia_tech,vtechworks.lib.vt.edu,3261370,414707
vancouver_island_royal_roads_universities,viurrspace.ca,636436,93608
university_western_cape_etd,etd.uwc.ac.za,225223,45375
university_western_cape_repository,repository.uwc.ac.za,191345,30605
university_winnipeg,winnspace.uwinnipeg.ca,38332,6552
